updated_at,created_by,updated_by,Year collected,plot_number_tag_number,Period,treatment_type,available_light,is_substrate_underwater,is_next_clump_within_6_feet,clump_length_in_feet_,clump_length_inches_feet_above,width_in_feet,width_in_inches_feet_above,number_of_leaves_in_clump,number_of_flower_stalks_in_clump
2020-06-30 15:59:57 UTC,jah@clevelandmetroparks.com,jah@clevelandmetroparks.com,2020,762,Pre,Cut and tarp,Partial shade,1,1,3,6,2,4,65,6
2021-06-01 18:45:05 UTC,jah@clevelandmetroparks.com,jah@clevelandmetroparks.com,2021,762,Post,Cut and tarp,Partial shade,1,1,,,,,0,0
2020-06-30 15:38:08 UTC,jah@clevelandmetroparks.com,jah@clevelandmetroparks.com,2020,763,Pre,Cut and tarp,Shade,1,1,3,2,3,7,63,1
2021-06-01 19:02:57 UTC,jah@clevelandmetroparks.com,jah@clevelandmetroparks.com,2021,763,Post,Cut and tarp,Partial shade,1,1,0,0,0,0,0,0
2020-06-15 15:53:46 UTC,jah@clevelandmetroparks.com,jah@clevelandmetroparks.com,2020,765,Pre,Cut and tarp,Sun,1,1,5,0,4,1,134,0
2021-06-02 19:36:07 UTC,jah@clevelandmetroparks.com,jah@clevelandmetroparks.com,2021,765,Post,Cut and tarp,Sun,1,0,,,,,,
2020-06-12 20:01:38 UTC,jah@clevelandmetroparks.com,jah@clevelandmetroparks.com,2020,766,Pre,Cut and tarp,Partial shade,0,0,2,3,1,0,17,1
2021-06-02 19:52:10 UTC,jah@clevelandmetroparks.com,jah@clevelandmetroparks.com,2021,766,Post,Cut and tarp,Partial shade,0,1,,6,,2,2,
2020-06-08 18:19:43 UTC,jah@clevelandmetroparks.com,jah@clevelandmetroparks.com,2020,959,Pre,No treatment,Partial shade,0,0,4,9,3,0,66,9
2021-06-01 17:42:48 UTC,jah@clevelandmetroparks.com,jah@clevelandmetroparks.com,2021,959,Post,No treatment,Shade,0,,5,0,2,8,51,10
2021-06-01 14:46:54 UTC,jah@clevelandmetroparks.com,jah@clevelandmetroparks.com,2020,978,Pre,Cut and herbicide,Shade,0,1,9,2,5,11,139,17
2021-06-01 14:51:10 UTC,jah@clevelandmetroparks.com,jah@clevelandmetroparks.com,2021,978,Post,Cut and herbicide,Shade,1,1,7,6,6,0,41,5
2020-06-08 20:15:22 UTC,jah@clevelandmetroparks.com,jah@clevelandmetroparks.com,2020,999,Pre,No treatment,Sun,0,1,1,9,1,8,27,9
2021-06-02 20:04:40 UTC,jah@clevelandmetroparks.com,jah@clevelandmetroparks.com,2021,999,Post,No treatment,Sun,0,1,,2,,1,2,
2020-06-08 15:46:56 UTC,jah@clevelandmetroparks.com,jah@clevelandmetroparks.com,2020,1000,Pre,No treatment,Shade,1,1,5,2,5,3,,6
2021-06-01 14:50:04 UTC,jah@clevelandmetroparks.com,jah@clevelandmetroparks.com,2021,1000,Post,No treatment,Shade,1,,5,7,6,3,88,14
